set_function,dwc_term
set_occurrences(),basisOfRecord
,occurrenceID
set_scientific_name(),scientificName
,taxonRank
,scientificNameAuthorship
set_coordinates(),decimalLatitude
,decimalLongitude
,geodeticDatum
,coordinateUncertaintyInMeters
,coordinatePrecision
set_datetime(),eventDate
,year
,month
,day
,eventTime
set_locality(),continent
,country
,countryCode
,stateProvince
,locality
set_taxonomy(),kingdom
,phylum
,class
,order
,family
,genus
,specificEpithet
,vernacularName
set_abundance(),individualCount
,organismQuantity
,organismQuantityType
,organismQuantity
set_collection(),datasetID
,datasetName
,catalogNumber
set_individual_traits(),individualID
),lifeStage
,sex
,vitality
,reproductiveCondition
set_observer(),recordedBy
,recordedByID
set_events(),eventID
,eventType
,parentEventID
set_license(),license
,rightsHolder
,accessRights
